sentence,label,id,token_count,char_count,avg_word_len,dep_depth,num_clauses,passive_voice_count,negation_count,hedge_count,num_financial_terms,num_entities,entity_density,flesch_reading_ease,flesch_kincaid_grade,complexity_score
"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",neutral,0,25,127,4.545,4,3,0,1,1,0,2,0.08,57.61,10.69,0.3464650029193997
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,positive,1,33,206,5.406,5,1,0,0,3,0,0,0.0,23.66,17.91,0.3519945866875373
"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",positive,2,46,193,3.583,8,1,0,0,0,1,10,0.2174,48.1,15.49,0.2582898140901411
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,3,29,125,3.789,4,0,0,0,0,2,5,0.1724,95.0,1.5,0.0960246665983403
Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,positive,4,24,122,4.611,5,1,0,0,0,2,4,0.1667,70.51,4.79,0.13837217066686544
"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",positive,5,22,103,4.5,5,1,0,0,0,2,4,0.1818,80.07,3.21,0.12592415306350627
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,positive,6,30,178,5.214,10,2,0,0,1,0,2,0.0667,40.29,14.84,0.30602054372266946
"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",positive,7,35,164,4.667,8,0,0,0,0,1,12,0.3429,59.64,11.15,0.1856481999105546
"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",positive,8,38,207,4.765,6,0,2,0,0,0,7,0.1842,40.78,16.27,0.20641941835619163
"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",positive,9,34,163,4.12,6,1,0,0,0,2,7,0.2059,87.08,3.04,0.15466791439947325
